Grenada	0.106	0.52	0.52	0.54	0.591	0.599	0.695	0.699	0.759	0.826	0.771	0.771	0.779	0.8	0.842	0.912	0.957	1.005
Guatemala	15.87	17.187	18.703	20.777	21.918	23.965	27.211	30.231	34.113	39.137	37.734	41.338	47.655	50.388	53.851	58.728	63.218	66.401
Guinea	12.039	2.995	2.829	2.95	3.446	3.666	2.937	2.903	4.157	4.517	4.635	4.929	5.124	5.632	6.16	6.707	6.733	7.067
Guinea-Bissau	1.738	0.371	0.393	0.417	0.477	0.532	0.588	0.592	0.697	0.868	0.828	0.848	1.107	0.996	1.027	1.111	1.035	1.116
Guyana	0.8	1.123	1.127	1.16	1.197	1.26	1.311	1.455	1.741	1.916	2.023	2.262	2.582	2.854	2.982	3.059	3.203	3.411
Haiti	10.461	3.954	3.596	3.472	2.96	3.538	4.31	4.756	5.885	6.55	6.584	6.62	7.516	7.89	8.451	8.711	8.797	8.924
Honduras	8.264	7.104	7.566	7.775	8.14	8.772	9.672	10.842	12.275	13.79	14.486	15.73	17.649	18.514	18.499	19.511	19.941	20.457
Hong Kong SAR	7.267	171.669	169.404	166.326	161.355	169.096	181.57	193.534	211.599	219.28	214.046	228.637	248.514	262.629	275.743	290.896	307.79	322.166
Hungary	9.877	47.11	53.533	67.366	84.738	103.157	111.89	114.238	138.58	156.579	129.36	129.585	139.447	126.825	133.424	136.989	118.49	124.012
Iceland	0.326	8.925	8.125	9.162	11.297	13.71	16.749	17.041	21.294	17.531	12.855	13.237	14.665	14.195	15.377	17.036	16.738	17.775
India	1275.921	476.636	493.934	523.768	618.369	721.589	834.218	949.118	1238.7	1224.096	1365.373	1708.46	1843.018	1835.821	1875.157	2051.228	2182.577	2384.726
Indonesia	252.165	179.482	174.507	212.807	255.428	279.556	310.815	396.293	470.144	558.582	577.539	755.256	892.59	919.002	912.502	888.648	872.615	875.75
Islamic Republic of Iran	77.8	357.875	420.688	128.627	151.911	181.485	218.335	257.773	337.326	391.165	396.738	463.971	564.459	583.164	380.348	416.49	396.915	416.22
Iraq	34.278	n/a	n/a	n/a	n/a	36.642	50.065	65.144	88.833	131.614	111.66	138.517	185.75	218.032	232.497	223.508	165.057	176.417
Ireland	4.61	99.854	109.095	128.002	164.563	193.973	211.403	231.993	269.701	274.724	235.373	220.063	241.8	224.652	238.26	250.814	227.498	240.454
Israel	8.212	132.396	130.753	121.092	126.749	135.419	142.838	154.511	179.565	216.759	208.067	234.323	261.762	259.612	292.412	305.673	298.866	312.434
